LECROYHDO6104A,17988,Waveform
Segments,1,SegmentSize,998
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2000 00:00:00,0                 
Time,Ampl
400,0.085025
401,0.0772125
402,0.119475
403,0.094375
404,0.07678142
405,0.07678428
406,0.1183384
407,0.1305411
408,0.1052083
409,0.084325
410,0.1243763
411,0.107925
412,0.0715625
413,0.1669
414,0.412425
415,0.162388
416,0.0792875
417,0.0998
418,0.07349742
419,0.0738
420,0.1758
421,0.07087386
422,0.1244313
423,0.1589535
424,0.0998625
425,0.225825
426,0.1606625
427,0.092925
428,0.0916
429,0.072425
430,0.08470717
431,0.0884436
432,0.0768125
433,0.1429875
434,0.096575
435,0.0935375
436,0.0717875
437,0.10235
438,0.1111125
439,0.1310375
440,0.102775
441,0.077
442,0.2137125
443,0.2028802
444,0.0753
445,0.085275
446,0.1354
447,0.1513596
448,0.1216
449,0.131425
450,0.1419375
451,0.0992
452,0.0864125
453,0.2174
454,0.0912
455,0.0794
456,0.0861375
457,0.1135125
458,0.0838375
459,0.1024875
460,0.1099875
461,0.1252875
462,0.0688375
463,0.0712375
464,0.0949125
465,0.080825
466,0.345
467,0.1316343
468,0.1150375
469,0.1024
470,0.0968125
471,0.072275
472,0.1411772
473,0.11505
474,0.0974
475,0.0860625
476,0.123975
477,0.05556319
478,0.2671942
479,0.0982125
480,0.152118
481,0.118375
482,0.0987125
483,0.1194
484,0.0815625
485,0.09790646
486,0.1137161
487,0.08905
488,0.0855375
489,0.0915
490,0.1463875
491,0.1312875
492,0.1556018
493,0.09653758
494,0.071825
495,0.0725875
496,0.075525
497,0.1192875
498,0.131
499,0.09215
500,0.1062375
501,0.0851125
502,0.071475
503,0.0850625
504,0.1379375
505,0.1551875
506,0.0708
507,0.0793125
508,0.06640045
509,0.1045
510,0.0873186
511,0.072725
512,0.07545
513,0.0898875
514,0.1136875
515,0.337308
516,0.101775
517,0.1134
518,0.1589375
519,0.12715
520,0.0946625
521,0.089675
522,0.086475
523,0.1195625
524,0.162225
525,0.078825
526,0.09405
527,0.0528125
528,0.0944875
529,0.1132131
530,0.1303625
531,0.0809625
532,0.1176875
533,0.09584334
534,0.1506625
535,0.123275
536,0.0900625
537,0.0743125
538,0.0945125
539,0.1131125
540,0.02810729
541,0.1106625
542,0.0877875
543,0.093625
544,0.0956625
545,0.102175
546,0.2125125
547,0.1012625
548,0.0865125
549,0.089025
550,0.1857625
551,0.105125
552,0.1114125
553,0.1011564
554,0.1345434
555,0.1318
556,0.0876625
557,0.06813581
558,0.08002993
559,0.06261204
560,0.07321854
561,0.0989875
562,0.0937125
563,0.1004125
564,0.0945625
565,0.05752938
566,0.0744904
567,0.0800375
568,0.1146997
569,0.097525
570,0.06755
571,0.145425
572,0.1122
573,0.0975625
574,0.0998125
575,0.2703875
576,0.092375
577,0.1288935
578,0.1297435
579,0.119275
580,0.1192125
581,0.0713375
582,0.06402809
583,0.109475
584,0.1085875
585,0.1623876
586,0.2336949
587,0.079075
588,0.06451775
589,0.151275
590,0.098125
591,0.05350067
592,0.06895099
593,0.1104125
594,0.0946
595,0.0976125
596,0.06651006
597,0.1594655
598,0.12205
599,0.0844
600,0.0898875
601,0.0998
602,0.092275
603,0.08120985
604,0.0965375
605,0.088075
606,0.1035
607,0.115975
608,0.094575
609,0.09490134
610,0.0767625
611,0.0840875
612,0.0904
613,0.100625
614,0.0897875
615,0.1272
616,0.1212125
617,0.0811875
618,0.0968625
619,0.1329
620,0.0545875
621,0.1167731
622,0.1053125
623,0.1606919
624,0.09775
625,0.1233408
626,0.110275
627,0.0863875
628,0.09615
629,0.075625
630,0.078225
631,0.1098011
632,0.0893375
633,0.156275
634,0.0982125
635,0.071375
636,0.1440625
637,0.1169375
638,0.139875
639,0.075275
640,0.1174
641,0.0761125
642,0.34075
643,0.089175
644,0.1161125
645,0.1056125
646,0.08284742
647,0.1339502
648,0.1095125
649,0.0846
650,0.1085125
651,0.1240125
652,0.1129304
653,0.175325
654,0.097275
655,0.0848875
656,0.059225
657,0.0784
658,0.06317431
659,0.0660875
660,0.0780875
661,0.078125
662,0.10125
663,0.09806902
664,0.07562456
665,0.404
666,0.08
667,0.110481
668,0.117925
669,0.1213625
670,0.131
671,0.07479492
672,0.1580875
673,0.171025
674,0.1046125
675,0.08014616
676,0.079125
677,0.0835625
678,0.0700375
679,0.1022125
680,0.07400115
681,0.117625
682,0.086775
683,0.074175
684,0.07403141
685,0.09326935
686,0.094425
687,0.108125
688,0.0724096
689,0.0931125
690,0.0978375
691,0.164825
692,0.07246526
693,0.2247187
694,0.121425
695,0.099725
696,0.0739125
697,0.0888125
698,0.09162326
699,0.1447125
700,0.111785
701,0.1968339
702,0.0832
703,0.0866375
704,0.08845909
705,0.08935
706,0.12035
707,0.37075
708,0.1068125
709,0.069725
710,0.3452366
711,0.0867125
712,0.1732452
713,0.0745875
714,0.1229125
715,0.0788
716,0.0806125
717,0.09564462
718,0.1012875
719,0.1260125
720,0.1660625
721,0.1089875
722,0.2021
723,0.140525
724,0.105125
725,0.1034875
726,0.088675
727,0.2046375
728,0.1014
729,0.1372125
730,0.07005911
731,0.1131875
732,0.238075
733,0.08445
734,0.1199424
735,0.0975529
736,0.0957375
737,0.1723625
738,0.1203875
739,0.1251892
740,0.1335375
741,0.1784875
742,0.10225
743,0.0951625
744,0.094775
745,0.1070625
746,0.13
747,0.08681328
748,0.1209347
749,0.0853625
750,0.084075
751,0.1194875
752,0.1085
753,0.110175
754,0.0739125
755,0.12445
756,0.0716125
757,0.1008
758,0.093625
759,0.1921625
760,0.1187125
761,0.1055625
762,0.0846
763,0.08637277
764,0.15415
765,0.1022375
766,0.0874875
767,0.10055
768,0.078325
769,0.1131654
770,0.0912
771,0.081325
772,0.079175
773,0.2842
774,0.1326
775,0.110825
776,0.07647743
777,0.076425
778,0.1116125
779,0.1917375
780,0.1473125
781,0.0470375
782,0.092
783,0.0962364
784,0.0785125
785,0.0879625
786,0.16845
787,0.0957375
788,0.08125305
789,0.17365
790,0.0816125
791,0.0961875
792,0.0973125
793,0.0976625
794,0.08225
795,0.0894
796,0.078
797,0.089825
798,0.1194125
799,0.0568875
800,0.209676
801,0.192729
802,0.1150375
803,0.07430207
804,0.0955
805,0.1024
806,0.0774
807,0.22895
808,0.0953375
809,0.0843
810,0.0925
811,0.121875
812,0.27735
813,0.061175
814,0.211
815,0.1216831
816,0.1456625
817,0.1116643
818,0.1032875
819,0.11815
820,0.097075
821,0.15085
822,0.1088625
823,0.072725
824,0.0673875
825,0.1568125
826,0.0785875
827,0.135325
828,0.1967
829,0.081075
830,0.075325
831,0.2229125
832,0.143825
833,0.12625
834,0.0847
835,0.1676875
836,0.08209394
837,0.095
838,0.09318867
839,0.100075
840,0.0663375
841,0.1066625
842,0.0964625
843,0.135179
844,0.10155
845,0.1350125
846,0.13855
847,0.1337567
848,0.0752
849,0.1029625
850,0.100675
851,0.090725
852,0.09075
853,0.3166456
854,0.092775
855,0.1028875
856,0.0746625
857,0.03881863
858,0.06643071
859,0.0855375
860,0.1105875
861,0.07695876
862,0.0956625
863,0.1443897
864,0.0882625
865,0.15605
866,0.11565
867,0.1103875
868,0.1091875
869,0.2390631
870,0.08203165
871,0.106025
872,0.117
873,0.1239125
874,0.1649
875,0.1486625
876,0.1201
877,0.1059625
878,0.1106625
879,0.08099948
880,0.1326
881,0.14195
882,0.06078119
883,0.1141625
884,0.177775
885,0.11045
886,0.08014498
887,0.0929875
888,0.1402
889,0.2030189
890,0.0743625
891,0.0752375
892,0.180625
893,0.0910375
894,0.0924625
895,0.1211125
896,0.1156375
897,0.2752125
898,0.1911625
899,0.0989625
900,0.07355
901,0.1439625
902,0.0956875
903,0.0787625
904,0.099375
905,0.1455519
906,0.1588
907,0.0966375
908,0.10205
909,0.1059125
910,0.1022875
911,0.09475
912,0.07385
913,0.0947625
914,0.1018875
915,0.0725375
916,0.0918
917,0.07963237
918,0.06175
919,0.0652
920,0.09374195
921,0.111175
922,0.07158694
923,0.1576196
924,0.1409125
925,0.153172
926,0.1000352
927,0.1180625
928,0.0884
929,0.0820473
930,0.081575
931,0.07882238
932,0.0752875
933,0.09156186
934,0.0684125
935,0.1016199
936,0.0734625
937,0.0853875
938,0.099975
939,0.111975
940,0.1131713
941,0.09755
942,0.1084171
943,0.126225
944,0.1012625
945,0.1238625
946,0.1649236
947,0.07153203
948,0.07323229
949,0.15315
950,0.08797186
951,0.079075
952,0.0977625
953,0.085275
954,0.1115968
955,0.1436
956,0.09330334
957,0.0885375
958,0.127872
959,0.1684772
960,0.0855625
961,0.2736
962,0.1134375
963,0.119675
964,0.0618
965,0.09195
966,0.0609625
967,0.088225
968,0.1135
969,0.100775
970,0.0676875
971,0.09399792
972,0.1676226
973,0.1025
974,0.0817375
975,0.121625
976,0.07795
977,0.2281125
978,0.05663731
979,0.107725
980,0.0978875
981,0.10255
982,0.0734
983,0.08521698
984,0.0871375
985,0.091975
986,0.07745
987,0.1323125
988,0.106825
989,0.081225
990,0.1201693
991,0.1088799
992,0.1202125
993,0.1267707
994,0.0706875
995,0.1974375
996,0.157625
997,0.1667625
998,0.280025
999,0.1064125
